graph_id,neato_xing,sfdp_xing,smartgd_xing,diff_gd_xing
grafo2871.17,0,0,0.0,0
grafo11550.35,2,2,2.0,2
grafo4032.42,7,4,5.0,5
grafo6947.44,14,11,9.0,10
grafo2501.19,3,2,5.0,2
grafo2735.36,4,3,4.0,4
grafo8549.100,99,96,92.0,77
grafo9335.78,54,63,42.0,42
grafo7396.42,3,2,3.0,2
grafo9318.81,63,56,57.0,53
grafo679.20,2,1,1.0,1
grafo10742.99,71,70,72.0,56
grafo10140.40,8,12,9.0,7
grafo6147.53,12,15,10.0,10
grafo8554.84,73,67,81.0,54
grafo2682.17,1,1,1.0,1
grafo1613.54,23,19,26.0,22
grafo7913.71,41,35,46.0,31
grafo10891.95,43,38,39.0,36
grafo9340.88,60,56,52.0,44
grafo3279.45,40,35,33.0,32
grafo3988.43,15,20,14.0,9
grafo4462.57,10,7,8.0,7
grafo7445.49,43,50,41.0,32
grafo2211.16,17,15,21.0,11
grafo2560.15,1,0,0.0,1
grafo7951.81,35,32,37.0,31
grafo7207.55,39,46,40.0,29
grafo383.12,1,1,1.0,0
grafo6907.38,15,10,8.0,10
grafo7247.39,9,9,9.0,8
grafo7424.45,20,15,18.0,15
grafo8293.73,40,37,42.0,32
grafo9623.82,61,56,54.0,50
grafo1575.68,21,29,24.0,14
grafo4853.49,4,5,7.0,4
grafo2598.21,5,7,4.0,4
grafo4459.77,68,61,75.0,57
grafo10463.36,20,18,19.0,17
grafo9243.78,49,42,54.0,36
grafo7416.36,15,8,11.0,11
grafo7209.40,19,13,16.0,16
grafo4602.51,9,8,10.0,9
grafo6565.59,15,14,17.0,14
grafo3156.56,46,50,37.0,35
grafo5313.58,47,46,39.0,34
grafo6718.59,10,15,9.0,9
grafo1285.26,3,4,4.0,2
grafo5925.45,12,18,12.0,8
grafo1035.37,16,14,20.0,11
grafo3622.36,3,5,3.0,3
grafo917.17,1,1,1.0,0
grafo4530.54,51,40,41.0,38
grafo4160.51,23,28,20.0,16
grafo6740.50,16,19,16.0,12
grafo7696.61,51,58,50.0,38
grafo11344.35,3,1,4.0,2
grafo8681.86,121,117,116.0,103
grafo4613.77,107,105,103.0,88
grafo3631.35,3,3,4.0,2
grafo10360.93,49,43,49.0,37
grafo10766.33,2,2,2.0,2
grafo9066.71,43,45,41.0,36
grafo8364.87,30,27,28.0,21
grafo4265.54,15,17,14.0,11
grafo8196.76,21,17,21.0,14
grafo4697.59,27,24,26.0,23
grafo2896.10,0,0,0.0,0
grafo1539.34,2,4,2.0,2
grafo8415.84,48,28,52.0,41
grafo5315.37,19,20,27.0,14
grafo6822.47,3,3,4.0,3
grafo9951.33,0,1,1.0,0
grafo8748.88,20,17,20.0,17
grafo9075.72,25,29,28.0,23
grafo10161.99,206,195,187.0,168
grafo2467.16,1,1,2.0,1
grafo2609.15,2,0,1.0,2
grafo1394.45,6,10,7.0,5
grafo1916.20,0,3,0.0,0
grafo5936.46,20,20,16.0,17
grafo9658.67,15,15,18.0,11
grafo6883.43,19,12,14.0,13
grafo10535.100,46,34,42.0,34
grafo1667.24,2,2,2.0,2
grafo3370.43,25,36,21.0,14
grafo8785.89,67,70,64.0,57
grafo11301.93,115,131,117.0,96
grafo1387.56,9,12,12.0,6
grafo1546.22,0,0,0.0,0
grafo10613.96,109,94,101.0,92
grafo8795.86,50,68,49.0,35
grafo1303.68,17,17,14.0,11
grafo8698.73,29,32,33.0,23
grafo4346.54,47,43,44.0,34
grafo10081.34,7,6,7.0,6
grafo4779.58,43,64,44.0,37
grafo9449.72,58,67,60.0,49
grafo7791.62,34,43,28.0,22
grafo7189.52,17,18,20.0,13
grafo8454.78,36,38,36.0,32
grafo11621.40,14,14,9.0,11
grafo5004.67,87,69,71.0,63
grafo322.16,0,0,0.0,0
grafo1834.19,4,4,3.0,2
grafo6917.37,5,4,4.0,3
grafo6204.45,19,30,22.0,14
grafo331.15,1,2,0.0,0
grafo11222.93,70,57,61.0,52
grafo8501.94,37,24,23.0,26
grafo7018.45,49,43,49.0,37
grafo8691.89,65,58,59.0,54
grafo6293.68,51,44,61.0,45
grafo1907.16,0,2,0.0,0
grafo6824.38,9,7,12.0,5
grafo2897.29,0,1,0.0,0
grafo1770.38,3,0,0.0,3
grafo11215.93,109,85,102.0,80
grafo6194.58,35,38,31.0,28
grafo6925.44,22,19,23.0,15
grafo3581.61,35,30,32.0,23
grafo7769.56,25,21,28.0,18
grafo186.30,0,0,1.0,0
grafo336.21,0,0,0.0,0
grafo4850.55,30,26,32.0,27
grafo10781.100,128,137,113.0,101
grafo2471.14,1,1,1.0,1
grafo2300.17,0,0,0.0,0
grafo6125.53,15,10,13.0,11
grafo7496.42,12,15,15.0,10
grafo5911.49,21,30,27.0,20
grafo3637.38,12,13,13.0,8
grafo7614.42,20,20,18.0,17
grafo5772.40,6,6,9.0,4
grafo9954.32,2,1,1.0,1
grafo124.28,1,1,1.0,1
grafo1069.16,0,0,0.0,0
grafo5195.60,38,30,37.0,30
grafo1657.10,3,1,0.0,1
grafo2948.25,1,2,1.0,1
grafo2996.37,17,15,13.0,12
grafo8862.89,20,11,18.0,14
grafo10198.94,63,65,66.0,48
grafo831.16,0,0,0.0,0
grafo9510.65,50,32,38.0,40
grafo8200.76,74,72,84.0,59
grafo5331.46,17,14,17.0,12
grafo5638.36,5,6,5.0,4
grafo8451.69,53,68,56.0,41
grafo7141.42,10,7,10.0,5
grafo4376.60,12,15,14.0,12
grafo8790.97,101,91,107.0,79
grafo5815.34,2,3,2.0,2
grafo10967.93,95,81,85.0,73
grafo113.28,3,2,2.0,3
grafo9272.65,28,27,27.0,21
grafo4055.43,24,23,26.0,19
grafo5745.50,57,49,63.0,39
grafo10478.94,48,40,43.0,40
grafo10835.39,9,3,3.0,8
grafo5168.45,37,36,32.0,28
grafo4711.65,42,41,49.0,35
grafo815.15,0,0,0.0,0
grafo6563.44,25,25,23.0,17
grafo997.11,1,0,0.0,1
grafo10500.91,72,47,55.0,54
grafo11502.100,67,52,62.0,54
grafo8116.60,28,27,30.0,20
grafo217.14,1,0,1.0,1
grafo7343.44,6,8,11.0,5
grafo2439.12,0,0,0.0,0
grafo1378.46,26,26,23.0,21
grafo8546.75,37,46,40.0,27
grafo5204.36,19,15,14.0,18
grafo9327.89,109,92,81.0,95
grafo5464.46,38,26,36.0,30
grafo11239.31,3,4,3.0,2
grafo9445.89,57,61,54.0,50
grafo10025.31,3,5,5.0,3
grafo8808.91,38,35,39.0,23
grafo6859.69,36,30,15.0,27
grafo10087.39,21,13,11.0,12
grafo10712.98,143,139,136.0,121
grafo8999.86,60,65,60.0,53
grafo4271.73,23,24,32.0,19
grafo8649.86,55,46,56.0,46
grafo1996.26,3,2,4.0,3
grafo11001.97,140,151,99.0,106
grafo9404.65,48,50,48.0,38
grafo2932.40,27,33,30.0,25
grafo1307.50,25,32,26.0,19
grafo8345.85,59,49,57.0,44
grafo4943.61,11,9,9.0,5
grafo2986.38,24,27,22.0,18
grafo10801.35,2,3,2.0,2
grafo9337.86,113,144,119.0,89
grafo6322.44,18,16,20.0,13
grafo7815.80,116,126,134.0,92
grafo7126.88,68,49,54.0,55
grafo8219.93,40,31,46.0,35
grafo10631.98,93,93,96.0,72
grafo3158.98,98,93,103.0,75
grafo1079.19,0,0,0.0,0
grafo2911.15,2,2,1.0,1
grafo7517.38,10,17,11.0,7
grafo8180.74,24,26,30.0,21
grafo3749.42,4,8,5.0,4
grafo10001.32,0,1,0.0,0
grafo3615.44,9,6,14.0,6
grafo8227.69,117,113,103.0,89
grafo3527.41,19,11,14.0,10
grafo3627.37,0,0,2.0,0
grafo3468.44,9,10,11.0,5
grafo7777.87,45,46,44.0,42
grafo6069.38,8,4,2.0,6
grafo4174.76,44,53,35.0,30
grafo1774.10,3,1,0.0,1
grafo6914.59,63,60,55.0,54
grafo11025.94,102,92,91.0,82
grafo11213.37,10,11,11.0,8
grafo4502.55,31,29,30.0,25
grafo9433.65,108,93,98.0,79
grafo3179.41,26,21,31.0,25
grafo875.20,0,0,0.0,0
grafo853.16,0,0,0.0,0
grafo9879.37,1,1,1.0,1
grafo5372.36,9,8,15.0,9
grafo9743.80,19,31,31.0,17
grafo3608.42,6,6,6.0,4
grafo11121.32,5,2,4.0,2
grafo11258.94,33,22,35.0,24
grafo9330.69,42,49,41.0,30
grafo1769.16,2,1,0.0,0
grafo1262.53,38,31,37.0,35
grafo11036.97,109,105,115.0,85
grafo403.14,0,0,0.0,0
grafo6308.42,34,41,31.0,24
grafo6953.73,62,67,69.0,55
grafo7184.39,18,20,21.0,14
grafo2533.18,0,3,0.0,0
grafo5410.36,10,8,5.0,4
