graph_id,n_nodes,n_edges,neato_xing,diff_gd_xing,rl_xing
10099,94,144,171,114,98
10100,99,139,95,66,62
10101,92,132,103,68,58
10102,97,132,63,34,27
10103,98,131,85,57,46
10104,96,134,123,65,54
10105,93,137,131,93,88
10106,100,119,29,15,15
10107,93,133,85,57,51
10108,99,129,67,40,35
10109,95,126,81,54,52
10110,97,117,24,17,16
10111,96,122,68,27,26
10112,98,137,132,84,67
10113,94,139,173,112,106
10114,95,119,50,22,21
10115,92,117,44,33,30
10116,100,149,179,103,86
10117,98,125,79,43,39
10118,97,128,92,60,51
10120,96,125,64,31,29
10121,95,122,60,39,35
10122,96,124,90,50,42
10123,96,130,64,42,35
10124,100,139,169,118,103
10125,99,114,25,14,13
10126,98,144,179,104,101
10127,94,130,88,47,45
10128,98,130,89,48,39
10129,99,135,102,76,73
10130,97,138,159,89,79
10131,98,126,85,49,42
10132,97,134,89,68,58
10133,32,37,3,1,1
10134,33,34,0,0,0
10135,35,43,3,1,1
10136,39,48,6,2,2
10137,36,45,5,4,3
10138,33,42,2,0,0
10139,95,127,90,54,46
10140,40,48,8,5,5
10141,38,45,4,3,3
10142,37,47,7,5,5
10143,93,118,32,25,21
10144,98,134,70,47,40
10145,94,125,46,31,30
10146,97,142,134,82,73
10147,94,132,133,92,81
10148,97,134,88,47,41
10149,95,134,119,69,59
10150,95,129,84,54,51
10151,94,140,139,103,86
10152,96,125,64,34,33
10153,100,136,72,48,48
10154,94,132,127,74,63
10155,97,129,78,59,52
10156,97,148,218,114,107
10157,94,120,58,35,28
10158,91,121,55,43,35
10159,95,125,65,47,41
10160,96,138,162,107,100
10161,99,148,206,138,128
10162,93,137,125,74,65
10163,93,121,68,33,32
10164,98,137,131,70,63
10165,96,125,85,54,52
10166,98,133,105,56,51
10167,96,133,65,50,47
10168,95,122,54,36,32
10169,93,116,52,30,28
10170,96,127,95,56,54
10171,99,140,158,102,86
10172,99,132,108,61,52
10173,97,142,157,87,68
10174,95,131,97,54,51
10175,99,143,142,90,79
10176,97,142,173,108,93
10177,96,122,50,35,35
10178,99,128,55,39,36
10179,97,143,153,97,88
10180,98,132,101,61,53
10181,93,133,121,63,55
10182,33,33,1,0,0
10183,100,132,72,36,33
10184,100,140,111,83,77
10185,32,38,7,2,1
10186,39,48,6,4,4
10187,33,37,2,1,0
10188,38,48,7,7,6
10189,38,46,5,3,3
10190,34,45,10,4,3
10191,34,38,1,1,1
10192,39,48,5,3,3
10193,38,46,5,3,3
10194,97,134,88,60,49
10195,99,142,152,81,68
10196,94,121,61,33,25
10197,96,135,113,80,70
10198,94,121,63,34,29
10199,98,123,24,16,15
10200,96,128,45,30,28
10201,93,123,92,61,56
10202,92,131,152,71,58
10203,97,141,167,115,97
10204,100,148,178,120,117
10205,97,141,176,99,84
10206,97,128,66,43,39
10207,98,137,124,71,62
10208,98,131,90,43,39
10209,99,145,136,83,77
10210,92,118,53,38,33
10211,92,119,41,29,27
10212,97,126,65,50,49
10213,99,132,107,68,57
10214,94,125,67,49,40
10215,93,142,151,102,89
10216,97,128,99,50,48
10217,99,133,100,75,66
10218,99,142,138,96,91
10219,99,128,62,42,38
10220,97,137,122,77,65
10221,95,128,73,46,45
10222,99,128,87,54,42
10223,100,135,119,69,61
10224,95,133,108,65,46
10225,99,133,124,56,51
10226,97,123,66,42,32
10227,96,128,83,46,43
10228,95,132,113,69,61
10229,36,46,8,6,6
10230,37,48,7,7,7
10231,32,35,0,0,0
10232,37,49,12,8,6
10233,34,39,1,1,1
10234,39,51,10,5,4
10235,39,53,9,4,4
10236,95,119,48,24,19
10237,100,141,148,89,84
10239,91,123,99,62,58
10240,97,134,91,63,52
10241,95,128,80,48,48
10242,93,121,68,50,43
10243,95,133,105,56,51
10244,99,141,135,94,83
10245,92,135,165,116,108
10246,96,133,121,74,70
10247,95,126,72,49,41
10248,100,126,58,32,25
10249,94,130,114,74,58
10250,100,138,114,61,54
10252,96,134,102,60,50
10253,97,125,61,40,39
10254,94,127,83,48,43
10255,93,125,85,53,49
10256,96,127,86,40,37
10257,100,124,40,25,23
10258,96,131,102,56,44
10259,100,141,139,84,80
10260,98,130,55,38,37
10261,96,123,60,44,39
10262,100,136,124,70,60
10263,97,123,53,29,26
10264,99,127,57,34,30
10265,100,137,80,56,45
10266,94,140,132,85,81
